GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ClinicPetWebJDBC Maven Webapp,com.service,Settings,3,33,0,0,2,9,0,4,0,4
ClinicPetWebJDBC Maven Webapp,com.servlets,Demo,137,0,0,0,44,0,5,0,5,0
ClinicPetWebJDBC Maven Webapp,com.servlets,DeleteClientServlet,6,56,0,2,3,10,1,4,1,3
ClinicPetWebJDBC Maven Webapp,com.servlets,SearchClientServlet,51,0,6,0,10,0,6,0,3,0
ClinicPetWebJDBC Maven Webapp,com.servlets,AddClientServlet,47,0,0,0,9,0,3,0,3,0
ClinicPetWebJDBC Maven Webapp,com.servlets,ClientViewServlet,27,0,0,0,9,0,3,0,3,0
ClinicPetWebJDBC Maven Webapp,com.servlets,EditClientServlet,6,58,0,0,3,9,1,3,1,3
ClinicPetWebJDBC Maven Webapp,com.models.pets,Pet,0,48,0,6,0,11,0,7,0,4
ClinicPetWebJDBC Maven Webapp,com.models.pets,Dog,0,11,0,0,0,4,0,3,0,3
ClinicPetWebJDBC Maven Webapp,com.models.pets,Cat,0,11,0,0,0,4,0,3,0,3
ClinicPetWebJDBC Maven Webapp,com.models,CreatePet,0,93,4,16,0,15,4,11,0,3
ClinicPetWebJDBC Maven Webapp,com.models,Client,0,106,0,16,0,22,0,16,0,8
ClinicPetWebJDBC Maven Webapp,com.store,UserCache,11,43,0,0,3,13,2,9,2,9
ClinicPetWebJDBC Maven Webapp,com.store,JDBCStorage,245,380,45,9,63,89,29,15,6,11
ClinicPetWebJDBC Maven Webapp,com.store,ClientCache,3,90,0,4,2,19,2,11,2,9
ClinicPetWebJDBC Maven Webapp,com.store,ClientCache.Check,1,63,2,16,0,5,2,12,0,5
